논문이름,저자,발행기관,학술지명,권호사항,발행년도,작성언어,주제어,초록
"영상정보학: 인공지능-빅데이터-데이터 과학 시대의 영상의학을 위한 새 지평                      = Imaging Informatics: A New Horizon for Radiology in the Era of Artificial Intelligence, Big Data, and Data Science",김종효                                (Seoul National University Hospital),대한영상의학회,대한영상의학회지(Journal of the Korean Radiological Society),Vol.80   No.2   [2019],2019,Korean,Medical Informatics;  Radiology Information System;  Big Data;  Artificial Intelligence;  Computational Biology;  Genomics,"인공지능과 빅데이터가 만들어내는 4차 산업혁명의 흐름은 전 산업과 일상을 흔들고 있으며관련된 학문 영역의 지형은 빠르게 변하고 있다. 유전체 해독과 분석기술의 도입 이후 생물학과 의학의 주류는 데이터 과학으로 전환되고 있다. 영상의학도 데이터 과학으로의 본격적인 전환이 요구되는 시기에 놓여있다. 이 종설에서는 인공지능과 빅데이터 시대에 영상의학의 미래 지평을 열고 발전을 견인할 기틀로서 영상정보학을 주목한다. 정보학의 한 갈래인영상정보학의 기본 개념을 소개하고, 영상정보학의 토대인 의료영상저장전송시스템과 의료용 디지털 영상 및 통신 표준의 정보학적 특징을 짚어본다. 영상정보학의 주요 분야인 영상유전체학과 방사선영상체학에 대해 기본개념과 차이점, 현황 등을 고찰한다. 인공지능의 기본 개념을 이해하고 영상의학분야에서의 최근 적용 사례들을 살펴보고, 빅데이터의 성공적구축 요인과 구축 사례를 고찰한다. 끝으로 미해결 이슈들과 선결 과제들을 짚어보고 발전방향을 조망한다."
"빅데이터 및 인공지능을 이용한 혁신의료기기 발전 방향: 한국, 미국, 유럽의 사례중심                      = The Innovative Medical Devices Using Big Data and Artificial Intelligence: Focusing on the cases of Korea, the United States, and Europe",송윤희                          ;  류규하                          ;  Yun Hee Song                          ;  Gyu Ha Ryu,대한의용생체공학회,의공학회지(Journal of Biomedical Engineering Research),Vol.44   No.4   [2023],2023,Korean,Digital healthcare;  Software as a medical device (SaMD);  Breakthrough device;  Digital therapeutics,"Purpose: The objective is to extract insights that can contribute to the formulation of harmonized international policies and support measures for innovative medical devices and management systems. This study aims to propose effective strategies for future medical device innovation and healthcare delivery. Results: It investigates technological advancements, regulatory approval systems, insurance policies, and successful commercialization cases in South Korea, the United States, and the European Union. In 2018, the FDA implemented insurance coverage for Software as a Medical Device (SaMD) and recognized insurance coverage for Digital Therapeutics (DTx). Germany is a country that ensures permanent reimbursement for healthcare applications since 2020, making it the first country to provide legal health insurance coverage for fostering a digital ecosystem. Conclusion: The findings of this research highlight the importance of cultivating a supportive regulatory and environmental framework to facilitate the adoption of innovative medical devices. Continuous support for research and development (R&D) efforts by companies, along with the validation of clinical effectiveness, is crucial."
인공지능과 임상빅데이터,윤덕용,대한외과학회,대한외과학회 학술대회 초록집,Vol.2019   No.5   [2019],2019,Korean,,
간호교육과 헬스케어에서의 빅데이터와 인공지능 적용,고병철(Byoung Chul Ko),한국간호교육학회,한국간호교육학회 학술대회,Vol.2022   No.6   [2022],2022,Korean,,
보건의료 빅데이터의 윤리적 활용을 위한 방안모색: 동의가 아닌 합의 모델로의 전환                      = The Ethical Use of Biomedical Big Data: Shifting from a Consent Model to an Agreement Model,목광수                                (서울시립대학교),한국의료윤리학회,한국의료윤리학회지(Korean Journal of Medical Ethics),Vol.22   No.1   [2019],2019,Korean,보건의료 빅데이터;  동의;  합의;  프라이버시;  소유권;  biomedical big data;  consent;  agreement;  privacy;  ownership,"The purpose of this paper is to examine how biomedical big data might be used in an ethically appropriate way. Biomedical big data is currently expected to create tremendous economic value as well as social value. For this reason there is an active debate among biomedical ethicists about which model of consent is most appropriate and efficient in this context. At first glance, the model of dynamic consent seems to be both justifiable and feasible, not only because it is based on the spirit of informed consent, but also because it allows for an additional process of consent through on-line platforms. However, it is doubtful that this model could be used in the context of biomedical big data since it is vulnerable to privacy protection and insensitive to ownership issues. Therefore, I argue that the most appropriate model of consent is an agreement model, which can reflect a fair distribution of the benefits from the use of biomedical big data and the privacy risk management. This agreement model not only promotes the autonomy of information givers, but also facilitates the long-term sustainable use of biomedical big data."
인공지능 의료윤리: 영상의학 영상데이터 활용 관점의 고찰                      = Ethics for Artificial Intelligence: Focus on the Use of Radiology Images,"박성호                                (University of Ulsan College of Medicine, Asan Medical Center)",대한영상의학회,대한영상의학회지(Journal of the Korean Radiological Society),Vol.83   No.4   [2022],2022,Korean,Artificial Intelligence;  Machine Learning;  Medicine;  Radiology;  Diagnostic Imaging;  Ethics,인공지능의 연구 개발 및 활용에서 윤리의 중요성이 의료분야뿐 아니라 전 사회적으로 점차널리 인식되고 있다. 이 종설은 영상의학 영상데이터를 인공지능 연구에 활용할 때 개인정보의 보호 및 데이터에 대한 권리 측면에서 윤리적으로 고려할 사항들에 대해서 국내 독자들에게 실용적인 정보를 제공하고자 한다. 따라서 이 글에 담긴 내용은 많은 부분이 관련된 국내법과 정부 제도에 바탕을 두고 있다. 인공지능의 연구 개발 및 활용에서 개인정보 보호는 매우 중요한 윤리적 원칙이며 연구 데이터의 적절한 가명처리는 개인정보 보호를 위한 핵심 방법이다. 아울러 인공지능 연구 개발에 의료 데이터를 상업적 이해관계를 최소화하며 윤리적으로 공유할 필요성도 부각되고 있다. 연구 데이터 공유는 개인정보 유출의 위험을 증가시키므로 개인정보 보호에 더욱 주의가 필요하다.
의료 빅데이터 활용 사례와 규제적 측면에서의 제언,조인산                          ;  우현기,한국에프디시규제과학회(구 한국에프디시법제학회),"FDC법제연구(Regulatory Research on Food, Drug & Cosmetic)",Vol.15   No.2   [2020],2020,Korean,의료데이터;  규제;  개인정보보호법;  정밀의학;  실사용 데이터;  medical big data;  regulation;  privacy;  precision medicion;  real world data,"초록

I. 서론

II. 의료데이터 관련 국내 법규 현황

III. 의료데이터 관련 해외 법규 현황

	1. 미국

	2. 유럽

	3. 일본

IV. 의료데이터 활용 동향 분석

	1. R&D/신약개발

	2. 임상시험

	3. 약물감시 및 역학조사

	4. 제품 Promotion

	5. 임상의사결정지원시스템(CDSS: Clinical Decision Support System)

	6. 정밀의료(Precision Medicine)

	7. 예방의학(Preventive Medicine)

V. 의료데이터 활용을 위한 규제 측면에서의 제언

참고문헌

Abstract"
인공지능과 데이터 윤리에 관한 소고(小考): 인공지능에 활용되는 헬스 데이터를 중심으로                      = A Study on Artificial Intelligence and Data Ethics: Focusing on Health Data Used in Artificial Intelligence,박미정                                (서울대학교),한국의료윤리학회,한국의료윤리학회지(Korean Journal of Medical Ethics),Vol.22   No.3   [2019],2019,Korean,artificial intelligence;  algorithms;  anonyms and pseudonyms;  ethics;  health;  인공지능;  알고리즘;  익명과 가명;  윤리;  헬스,"Health data collected in various ways and forms is secondary use of scientific research purposes. Including Republic of Korea, several country’s Data protection law require the anonymity of data in addition to obtaining the consent of the data subject as a provisions relating to specific data processing situations.In the case of research related to the important objectives of public interest, the informed consent of the subject shall be exempt from that liability. In order to find such compatibility of purposes, consideration will need to be taken in terms other than the lawful processing of personal data. This paper starts with the fact that data is used to train artificial intelligence. First, artificial intelligence needs to focus on specifics on what data are used in the training of the artificial intelligence and how the algorithms are built, and the concerns arising from the mechanism of algorithms are discussed. The data used in the artificial intelligence system are considered as the subject of ethical debate and the ethical problems are discussed. And analyzed the legislative process and legal provisions for data processing principles of EU General Data Protection Regulation to find clues to solving that problems. The problems that can arise due to the characteristics of artificial intelligence technology, which are hard to prepare and interpreter through legislation, are explains to informed consent and responsibility, the myth of data anonymity and, risk scores and algorithmic discrimination. As a conclusion, I suggested about data processing to removes ‘poison’ from the data, harmonization with legal system as an ex ante procedure, and transparent design of the algorithm for human judgment as a whole."
공공 빅데이터를 이용한 산재환자의 재활 급여현황                      = Status of Rehabilitation Benefits for Industrial Accident Patients Using Public Big Data,장태용                                (한림대학교 강동성심병원 작업치료실)                                                                ;                                  성윤정                                (경운대학교 작업치료학과),고령자&#65381;치매작업치료학회(Society of Occupational Therapy for the Agged and Dementia),고령자.치매작업치료학회지(The Journal of Occupational Therapy for the Aged and Dementia),Vol.16   No.2   [2022],2022,Korean,빅데이터;  산재환자;  재활치료;  Big data;  Industrial accident patients;  Rehabilitation,"목적 공공 빅데이터를 이용해 산재환자의 재활치료현황을 알아보기 위해 보험수가 데이터를 분석하고자 한다.연구방법공공 빅데이터 자료를 추출하여 산재환자 중 재활치료와 관련된 보험급여 비율, 산재환자 승인 비율, 질환별 산재환자 지정비율, 입원치료기간, 산재병원 입원내역 등을 SAS Version 9.4로 분석한다.연구결과산재 환자들의 증가로 보험 급여액이 2016년 대비 1.5배 정도 규모가 증가하였다. 요양급여는 1.5배, 장해급여 1.2배, 재활급여 1.5배 증가하였다. 산재환자 질병별 통계분류에서 신경계와 근골격계 관련진단을 받은 비율이 78.1%로 나타났다. 산재병원의 진료 환자 수는 비슷했으며, 입원환자의 장기 입원환자의 수가 많았다.결론질환별 산재환자의 비율을 보았을 때 근육뼈대계통, 신경계통 환자가 많은 것을 보았을 때, 이에 따른산재환자들을 위한 재활이 더 많이 요구될 것으로 생각되어지며, 연구들도 기존보다 확대되어야 한다. 산재환자는 신체적 손상으로 인해 장기적인 재활을 요하는 환자들이 많으며, 이를 위해 산재병원이 재활의 중심 역할이 되어주길 기대한다."
보건의료 빅데이터의 시각화 방법들                      = Statistical Methods for Visualizing Healthcare Big Data,김성화                                (연세대학교 원주의과대학)                                                                ;                                  임지혜                                (연세대학교 원주의과대학)                                                                ;                                  강대룡                                (연세대학교 원주의과대학),한국보건정보통계학회,보건정보통계학회지(Journal of Health Informatics and Statistics),Vol.48   No.S2   [2023],2023,Korean,Healthcare big data;  Summary;  Exploration;  Visualization;  .,.
