,논문제목,연도,링크
0,영상정보학: 인공지능-빅데이터-데이터 과학 시대의 영상의학을 위한 새 지평,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=57efd98d6235a8fd6aae8a972f9116fb&keyword=
1,"빅데이터 및 인공지능을 이용한 혁신의료기기 발전 방향: 한국, 미국, 유럽의 사례중심",2023,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=4b5515e8fa7b6539b36097776a77e665&keyword=
2,인공지능과 임상빅데이터,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=67867d11c50dc0707ecd42904f0c5d65&keyword=
3,간호교육과 헬스케어에서의 빅데이터와 인공지능 적용,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=98ebca92c58278a6e9810257f7042666&keyword=
4,보건의료 빅데이터의 윤리적 활용을 위한 방안모색: 동의가 아닌 합의 모델로의 전환,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6a951dd6e54df4cae9810257f7042666&keyword=
5,소셜 빅데이터를 활용한 인터넷 중독 위험예측 모형,2014,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=48453b62d4ef8859b36097776a77e665&keyword=
6,인공지능 의료윤리: 영상의학 영상데이터 활용 관점의 고찰,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f080e271f9d4ac5247de9c1710b0298d&keyword=
7,의료 빅데이터 활용 사례와 규제적 측면에서의 제언,2020,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2cffe775fea4c6d3b7998d826d417196&keyword=
8,인공지능과 데이터 윤리에 관한 소고(小考): 인공지능에 활용되는 헬스 데이터를 중심으로,2019,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=71ac9a3aa4e365d347de9c1710b0298d&keyword=
9,공공 빅데이터를 이용한 산재환자의 재활 급여현황,2022,/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=f1fc52c53cbe6702b36097776a77e665&keyword=
