Search query: big data
Year,Count
2024,933
2023,6995
2022,7857
2021,6489
2020,5332
2019,4088
2018,3151
2017,2347
2016,1997
2015,1453
2014,1018
2013,689
2012,455
2011,349
2010,352
2009,308
2008,280
2007,242
2006,226
2005,207
2004,184
2003,162
2002,142
2001,147
2000,140
1999,106
1998,125
1997,100
1996,111
1995,116
1994,94
1993,99
1992,86
1991,70
1990,66
1989,44
1988,28
1987,20
1986,26
1985,21
1984,20
1983,20
1982,10
1981,6
1980,10
1979,8
1978,13
1977,10
1976,13
1975,8
1974,3
1973,1
1972,1
1971,3
1969,2
1968,2
1962,1
1961,1
1959,2
1956,1
1954,1
1939,1
